ranking,seccion,zona,tipo_urbano_rural,modo_spt,indice_spt,flag_alerta_operativa,pct_reconocimiento_arturo,pct_conversion_preferencia,fuente_dato_conversion,P_18YMAS,GRAPROES,pct_poblacion_60mas,pct_poblacion_mujeres,fuente_dato_demografico,pct_bloque_morena_2024,lista_nominal_agregada_elegible,indice_arquetipo,indice_demografico,indice_electoral,indice_ln,n_manzanas_prioritarias,pct_afectacion_inseguridad,fuente_afectacion,perfil_mensaje_sugerido
1,160,Z1 Noreste,Urbana,A,75.59396813265494,True,40.02,55.98,seccion,7067.0,11.08,11.6773675762,53.8222311396,seccion,62.7066904096,5939.0,62.3809707137,60.1214684866,67.36334685539927,100.0,66.0,58.7,seccion,Mujeres 45-59 (seguridad)
2,217,Z5 Oriente Rural,Rural,B,53.65433800241615,False,54.94,71.93,seccion,1515.0,6.94,9.5744680851,52.2458628842,seccion,52.5691699605,,75.886796478,34.5669260231,10.310147550574335,,,50.2,seccion,General / mixto
3,215,Z5 Oriente Rural,Rural,B,50.43000215712369,False,37.32,45.1,zona (respaldo),2225.0,7.42,11.0728628801,52.0080321285,seccion,64.1339869281,,50.0925447237,38.5656432748,75.39606384432457,,,45.4,seccion,Escolaridad básica
4,208,Z1 Noreste,Rural,A,49.75677998742764,False,28.07,38.85,seccion,4457.0,11.13,8.0968031073,52.8981177174,seccion,62.1148725751,3891.5,46.2002953118,34.7654757729,64.03264078842645,57.8009068425,70.0,56.6,seccion,Mujeres 45-59 (seguridad)
5,164,Z3 Centro Oriente,Urbana,A,46.16254445119884,False,23.65,50.39,zona (respaldo),2626.0,9.5,13.044612575,52.3871641012,seccion,64.23076923080001,2368.4,62.2301929513,37.7224870171,75.94074733303839,26.4097279472,26.0,23.7,seccion,Escolaridad básica
6,213,Z6 Sur,Urbana,A,43.03199316001323,False,48.83,73.16,seccion,2667.0,5.73,8.5037174721,53.4851301115,seccion,52.6900085397,1668.2,79.9147960982,48.8514739601,10.99021794623226,11.97856554,26.0,42.5,seccion,General / mixto
7,214,Z5 Oriente Rural,Rural,B,42.770209218014685,False,28.06,45.1,zona (respaldo),1859.0,6.82,11.1784511785,50.0336700337,seccion,55.1462621885,,53.9014529386,31.3411197038,24.813827937631203,,,51.5,seccion,Escolaridad básica
8,2875,Z3 Centro Oriente,Urbana,A,42.50522135708877,False,46.48,70.24,seccion,1627.2857142857,9.8942857143,14.0924781817,53.3370974153,zona (respaldo),58.9790337284,1587.7,77.28536056,36.0254896707,46.38437663873775,10.3194558945,21.0,50.9,seccion,General / mixto
9,198,Z4 Centro,Urbana,A,41.76407933091648,False,58.65,67.84,seccion,986.0,10.31,15.2205882353,54.6323529412,seccion,67.2588832487,1176.3,69.3238194042,37.7915037871,92.98274428371484,1.8404781533,4.0,54.7,seccion,General / mixto
10,201,Z6 Sur,Urbana,A,41.59718623769884,False,85.09,56.64,seccion,2059.0,9.51,11.8051013734,52.223675605,seccion,68.3379120879,2439.8,44.6551724138,31.5194103053,99.05543708148834,27.8812860676,35.0,46.8,seccion,General / mixto
